Hidden Layers,Learning Rate,Final Loss,Final Accuracy,Test Accuracy,Execution Time
"(160, 100)",1.0,2.6931622,0.3,0.098199554,688.3653566837311
"(160, 100)",0.1,2.368418,0.1,0.11349947,959.1444528102875
"(160, 100)",0.01,0.59722465,0.7,0.6196005,860.7172634601593
"(160, 100)",0.001,0.0,1.0,0.96920186,984.468790769577
"(100, 160)",1.0,2.5330417,0.0,0.10279952,1092.5938646793365
"(100, 160)",0.1,2.1372113,0.1,0.100999504,1207.2206761837006
"(100, 160)",0.01,0.92401445,0.8,0.9378023,1299.4479506015778
"(100, 160)",0.001,0.0,1.0,0.967702,1407.0230031013489
"(100, 100)",1.0,2.5397296,0.1,0.089199565,1575.0767283439636
"(100, 100)",0.1,2.338338,0.2,0.11349947,1591.4442067146301
"(100, 100)",0.01,1.0015194,0.7,0.78479993,1853.8875994682312
"(100, 100)",0.001,0.0,1.0,0.9603021,1922.422275543213
"(100, 60)",1.0,2.3126776,0.1,0.100999504,3331.1823406219482
"(100, 60)",0.1,2.3543034,0.0,0.09799953,3533.25328040123
"(100, 60)",0.01,0.8457718,0.7,0.8197012,1677.9799931049347
"(100, 60)",0.001,0.0,1.0,0.96720195,1847.4092590808868
"(60, 60)",1.0,2.2972643,0.0,0.09579954,1979.745364665985
"(60, 60)",0.1,2.2593741,0.1,0.10319947,2048.7520372867584
"(60, 60)",0.01,0.16249724,1.0,0.8731015,2135.592338323593
"(60, 60)",0.001,0.00076973205,1.0,0.9628016,2195.4006867408752
